10.37.03.519047,PL900,login,
10.40.05.498946,PL900,picturestory,p,
10.40.05.751803,PL900,picturestory,p,
10.40.05.827049,PL900,picturestory,p,
10.40.06.043420,PL900,picturestory,p,
10.40.06.148428,PL900,picturestory,p,
10.40.06.516078,PL900,picturestory,p,
10.40.06.655842,PL900,picturestory,p,
10.40.06.810393,PL900,picturestory,pk,
10.40.06.958875,PL900,picturestory,pk,
10.40.07.097667,PL900,picturestory,k,
10.40.07.320461,PL900,picturestory,k,
10.40.07.455510,PL900,picturestory,k,
10.40.07.677440,PL900,picturestory,k,
10.40.07.818478,PL900,picturestory,k,
10.40.07.974793,PL900,picturestory,k,
10.40.08.144305,PL900,picturestory,k,
10.40.08.328441,PL900,picturestory,k,
10.40.08.441703,PL900,picturestory,k,
10.40.08.671363,PL900,picturestory,k,
10.40.08.798987,PL900,picturestory,k,
10.40.08.999918,PL900,picturestory,k,
10.40.09.101054,PL900,picturestory,k,
10.40.09.324061,PL900,picturestory,k,
10.40.09.520559,PL900,picturestory,k,
10.40.09.764199,PL900,picturestory,k,
10.40.09.936461,PL900,picturestory,l,
10.40.10.123340,PL900,picturestory,l,
10.40.10.260035,PL900,picturestory,l,
10.40.10.481880,PL900,picturestory,l,
10.40.10.619375,PL900,picturestory,l,
10.40.10.867581,PL900,picturestory,l,
10.40.11.034186,PL900,picturestory,l,
10.40.11.243316,PL900,picturestory,l,
10.40.11.390813,PL900,picturestory,l,
10.40.11.583068,PL900,picturestory,l,
10.40.11.727434,PL900,picturestory,l,
10.40.11.913221,PL900,picturestory,l,
10.40.12.046574,PL900,picturestory,l,
10.40.12.253234,PL900,picturestory,l,
10.40.12.413538,PL900,picturestory,l,
10.40.12.623316,PL900,picturestory,l,
10.40.12.795812,PL900,picturestory,l,
10.40.13.008520,PL900,picturestory,l,
10.40.13.434024,PL900,picturestory,l,
10.40.13.638530,PL900,picturestory,l,
10.40.13.750382,PL900,picturestory,m,
10.40.14.022398,PL900,picturestory,m,
10.40.14.149104,PL900,picturestory,m,
10.40.14.363873,PL900,picturestory,m,
10.40.14.518478,PL900,picturestory,m,
10.40.14.730290,PL900,picturestory,m,
