02.53.51.989259,SB11,login,
02.55.04.450394,SB11,words,1,
02.55.04.484484,SB11,words,1,
02.55.04.530609,SB11,words,1,
02.55.04.558683,SB11,words,1,
02.55.04.592774,SB11,words,1,
02.55.04.638899,SB11,words,1,
02.55.04.672635,SB11,words,1,
02.55.04.703419,SB11,words,1,
02.55.04.746519,SB11,words,1,
02.55.04.779788,SB11,words,1,
02.55.04.829024,SB11,words,1,
02.55.04.860703,SB11,words,1,
02.55.04.891155,SB11,words,1,
02.55.04.932799,SB11,words,1,
02.55.04.966475,SB11,words,1,
02.55.05.016704,SB11,words,1,
02.55.05.043911,SB11,words,1,
02.55.05.078607,SB11,words,1,
02.55.05.120127,SB11,words,1,
02.55.05.162715,SB11,words,1,
02.55.05.197997,SB11,words,1,
02.55.05.231348,SB11,words,1,
02.55.05.264527,SB11,words,1,
02.55.05.483520,SB11,words,2,
02.55.06.007572,SB11,words,2,
02.55.06.051035,SB11,words,2,
02.55.06.088328,SB11,words,2,
02.55.06.120698,SB11,words,2,
02.55.06.175770,SB11,words,2,
02.55.06.201218,SB11,words,2,
02.55.06.232407,SB11,words,2,
02.55.06.275955,SB11,words,2,
02.55.06.306846,SB11,words,2,
02.55.06.359777,SB11,words,2,
02.55.06.390226,SB11,words,2,
02.55.06.415865,SB11,words,2,
02.55.06.451915,SB11,words,2,
02.55.06.495757,SB11,words,2,
02.55.06.532567,SB11,words,2,
02.55.06.578011,SB11,words,2,
02.55.06.607768,SB11,words,2,
02.55.06.640564,SB11,words,2,
02.55.06.685570,SB11,words,2,
02.55.06.718114,SB11,words,2,
02.55.06.765432,SB11,words,2,
02.55.06.792507,SB11,words,2,
02.55.06.831231,SB11,words,2,
02.55.06.865287,SB11,words,2,
02.55.06.901051,SB11,words,2,
02.55.06.946865,SB11,words,2,
02.55.06.989225,SB11,words,2,
02.55.07.012468,SB11,words,2,
02.55.07.059759,SB11,words,2,
02.55.07.094933,SB11,words,2,
02.55.07.140214,SB11,words,2,
02.55.07.170092,SB11,words,2,
02.55.07.204384,SB11,words,2,
02.55.07.246110,SB11,words,2,
02.55.07.277011,SB11,words,2,
02.55.07.308715,SB11,words,2,
02.55.07.345814,SB11,words,2,
02.55.07.388852,SB11,words,2,
02.55.07.421533,SB11,words,2,
02.55.07.465829,SB11,words,2,
02.55.07.494553,SB11,words,2,
02.55.07.541977,SB11,words,2,
02.55.07.580168,SB11,words,2,
02.55.07.609821,SB11,words,2,
02.55.07.659973,SB11,words,2,
02.55.07.682071,SB11,words,2,
02.55.07.717675,SB11,words,2,
02.55.07.766318,SB11,words,2,
02.55.07.805689,SB11,words,2,
02.55.07.842118,SB11,words,2,
02.55.07.872503,SB11,words,2,
02.55.07.906740,SB11,words,2,
02.55.07.948239,SB11,words,2,
02.55.07.981574,SB11,words,2,
02.55.08.014860,SB11,words,2,
02.55.08.056772,SB11,words,2,
02.55.08.097797,SB11,words,2,
02.55.08.140535,SB11,words,2,
02.55.08.177327,SB11,words,2,
02.55.08.200956,SB11,words,2,
02.55.08.246711,SB11,words,2,
02.55.08.281506,SB11,words,2,
02.55.08.328356,SB11,words,2,
02.55.08.356013,SB11,words,2,
02.55.08.389865,SB11,words,2,
02.55.08.431843,SB11,words,2,
02.55.08.466772,SB11,words,2,
02.55.08.516512,SB11,words,2,
02.55.08.539852,SB11,words,2,
02.55.08.579408,SB11,words,2,
02.55.08.612128,SB11,words,2,
02.55.08.652667,SB11,words,2,
02.55.08.699458,SB11,words,2,
02.55.08.733875,SB11,words,2,
02.55.08.765177,SB11,words,2,
02.55.08.796845,SB11,words,2,
02.55.08.838326,SB11,words,2,
02.55.08.871396,SB11,words,2,
02.55.08.918884,SB11,words,2,
02.55.08.954058,SB11,words,2,
02.55.08.984911,SB11,words,2,
02.55.09.027816,SB11,words,2,
